Original Identifier,Renamed Identifier
Collections,Co
Generic,Ge
ComponentModel,Co2
Configuration,Co3
Data,Da
Drawing,Dr
Linq,Li
Security,Se
Cryptography,Cr
Text,Te
Threading,Th
Tasks,Ta
Windows,Wi
Forms,Fo
Sales,Sa
utility,ut
Net,Ne
Mime,Mi
MediaTypeNames,Me
VisualStyles,Vi
VisualStyleElement,Vi2
Window,Wi2
DB,DB
DBOperation,DB2
partial,pa
FormSalesDetail,Fo2
Form,Fo3
salesNo,sa
dtTaxRate,dt
dtColumnItem,dt2
mode,mo
operation,op
taxRate,ta
ProcessConfirmationFlag,Pr
get,ge
set,se
InitializeComponent,In
FormSalesDetail_Load,Fo4
e,e
ControlInitSettings,Co4
GetTaxRate,Ge2
ProcessForMode,Pr2
ex,ex
MessageBox,Me2
Show,Sh
データベース操作中にエラーが発生しました,デー
Environment,En
NewLine,Ne2
Message,Me3
StackTrace,St
buttonRowAddition_Click,bu
RowAdditionProcess,Ro
buttonRowDelete_Click,bu2
RowDeletingProcess,Ro2
dataGridViewSalesDetail_CurrentCellDirtyStateChanged,da
dataGridViewSalesDetail,da2
CommitEdit,Co5
DataGridViewDataErrorContexts,Da2
dataGridViewSalesDetail_CellValueChanged,da3
DataGridViewCellEventArgs,Da3
0,0
ColumnIndex,Co6
Item,It
Index,In2
Quantity,Qu
AmountCalculatingWhenSelectItemComboBox,Am
RowIndex,Ro3
AmountCalculatingWhenQuantityInput,Am2
Status,St2
CurrentCell,Cu
STATUS,ST
EXISTING,EX
EDIT,ED
buttonRegistration_Click,bu3
MODE,MO
REGISTRATION,RE
BeforeProcessCheck,Be
登録してもよろしいですか,登録
はい,はい
いいえ,いい
MessageBoxButtons,Me4
YesNo,Ye
DialogResult,Di
Yes,Ye2
RegistrationProcess,Re
更新してもよろしいですか,更新
EditProcess,Ed
DELETE,DE
削除してもよろしいですか,削除
DeleteProcess,De
buttonReturn_Click,bu4
前画面に戻ってもよろしいですか,前画
No,No
dataGridViewSalesDetail_EditingControlShowing,da4
DataGridViewEditingControlShowingEventArgs,Da4
Control,Co7
DataGridViewTextBoxEditingControl,Da5
tb,tb
KeyPress,Ke
KeyPressEventHandler,Ke2
dataGridViewTextBox_KeyPress,da5
KeyPressEventArgs,Ke3
KeyChar,Ke4
9,9
b,b
Handled,Ha
FormSalesDetail_KeyDown,Fo5
KeyEventArgs,Ke5
KeyCode,Ke6
F1,F1
buttonReturn,bu5
PerformClick,Pe
F12,F12
buttonRegistration,bu6
labelTaxExcludedTotalAmount_TextChanged,la
labelTaxExcludedTotalAmount,la2
LABEL,LA
EMPTY_STRING,EM
taxExcludedTotalAmountValue,ta2
Format,Fo6
labelSalesTax_TextChanged,la3
labelSalesTax,la4
SalesTaxValue,Sa2
labelTaxIncludedTotalAmount_TextChanged,la5
labelTaxIncludedTotalAmount,la6
taxIncludedTotalAmountValue,ta3
dateTimePickerSalesDate_ValueChanged,da6
TaxSetting,Ta2
taxExcludedTotalAmount,ta4
TotalAmountCalculationProcess,To
FooterCalculation,Fo7
HeaderClear,He
FooterClear,Fo8
DataGridViewInitSettings,Da6
ComboBoxInitSettings,Co8
labelSalesNo,la7
ResetText,Re2
dateTimePickerSalesDate,da7
Now,No2
comboBoxTanto,co
SelectedValue,Se2
SelectedIndex,Se3
COMBOBOX,CO
BLANK_CODE,BL
comboBoxCustomer,co2
textBoxTitle,te
Empty,Em
AutoGenerateColumns,Au
RowHeadersVisible,Ro4
SelectionMode,Se4
DataGridViewSelectionMode,Da7
CellSelect,Ce
MultiSelect,Mu
AllowUserToResizeRows,Al
AllowUserToResizeColumns,Al2
AllowUserToAddRows,Al3
DataGridViewColumn,Da8
column,co3
ReadOnly,Re3
UnitPrice,Un
DefaultCellStyle,De2
TaxExcludedAmount,Ta3
EditMode,Ed2
DataGridViewEditMode,Da9
EditOnEnter,Ed3
DropDownStyle,Dr2
ComboBoxStyle,Co9
DropDownList,Dr3
custormerQuery,cu
QueryBuilder,Qu2
CreateComboBoxCustormerQuery,Cr2
tantoQuery,ta5
CreateComboBoxTantoQuery,Cr3
columnItemQuery,co4
CreateComboBoxColumnItemQuery,Cr4
Connect,Co10
dtCustormer,dt3
ExecuteQuery,Ex
dtTanto,dt4
Utility,Ut
ConboBoxCustormerDataTableSet,Co11
ConboBoxTantoDataTableSet,Co12
ColumnItemDataTableSet,Co13
DataGridViewComboBoxColumn,Da10
taxRateQuery,ta6
CreateGetTaxRateQuery,Cr5
NewSalesNoDisplay,Ne3
BUTTON,BU
REGISTRATION_TEXT,RE2
SalesBaseTableSearchAndDisplay,Sa3
SalesDetailTableSearchAndDisplay,Sa4
EDIT_TEXT,ED2
ReadOnlySettings,Re4
DELETE_TEXT,DE2
sqlQuery,sq
CreateNewSalesNoQuery,Cr6
dt,dt5
row,ro
DATABASE,DA
MAX_SALES_NO,MA
1,1
CreateSalesBaseTableSearchQuery,Cr7
SALES_DATE,SA
TANTO_CODE,TA
CUSTORMER_ID,CU
TITLE,TI
textBoxMemo,te2
MEMO,ME
TAX_RATE,TA2
TOTAL_AMOUNT,TO
Truncate,Tr
TAX,TA3
FOR_TAX_CALUCURATION,FO
salesTaxValue,sa2
Replace,Re5
COMMA,CO2
CreateSalesDetailTableSearchQuery,Cr8
rowData,ro2
ItemArray,It2
Enabled,En2
buttonRowAddition,bu7
buttonRowDelete,bu8
max,ma
RowCount,Ro5
list,li
DataGridViewRow,Da11
Cells,Ce2
DetailNo,De3
Max,Ma
ADDING,AD
statusValue,st
deletingRow,de
currentCellColumnIndex,cu2
currentCellRowIndex,cu3
DELETED,DE3
Visible,Vi3
SelectCellProcess,Se5
countVisible,co5
lastRowCheck,la8
i,i
Selected,Se6
itemCode,it
Unit,Un2
DefaultView,De4
RowFilter,Ro6
ITEM_CODE,IT
DataRowView,Da12
drv,dr
CellValueChanged,Ce3
UNIT_NAME,UN
SALES_UNIT_PRICE,SA2
TotalAmountCalculation,To2
UnitPriceValue,Un3
QuantityValue,Qu3
sum,su
salesBaseTableRegistrationQuery,sa3
CreateTotalAmountEtcRegistrationInSalesBaseTableQuery,Cr9
CreateSalesDetailTableRegistrationQuery,Cr10
Transaction,Tr2
ExecuteNonQuery,Ex2
data,da8
登録しました,登録2
RollBack,Ro7
CreateSalesBaseTableRegistrationQuery,Cr11
ToShortDateString,To3
salesDetailTableRegistrationQuery,sa4
salesBaseTableEditQuery,sa5
CreateTotalAmountEtcUpdateInSalesBaseTableQuery,Cr12
UpdateSalesDetailTableEachStatus,Up
更新しました,更新2
CreateSalesBaseTableEditQuery,Cr13
salesDetailTableEditQuery,sa6
salesDetailTableDeleteQuery,sa7
CreateSalesDetailTableEditQuery,Cr14
CreateSalesDetailTableRowDeleteQuery,Cr15
salesBaseTablDeleteQuery,sa8
CreateSalesBaseTableDeleteQuery,Cr16
CreateSalesDetailTableDeleteQuery,Cr17
削除しました,削除2
明細を作成して下さい,明細
Focus,Fo9
担当者を選択して下さい,担当
顧客を選択して下さい,顧客
件名を入力して下さい,件名
商品を選択して下さい,商品
数量を入力して下さい,数量
salesDate,sa9
startDate,st2
START_DATE,ST2
endDate,en
END_DATE,EN
