Original Identifier,Renamed Identifier
ComponentModel,Com
Configuration,Con
Data,Dat
Drawing,Dra
Linq,Lin
Security,Sec
Cryptography,Cry
Text,Tex
Threading,Thr
Tasks,Tas
Windows,Win
Forms,For
Sales,Sal
utility,uti
Net,Net
Mime,Mim
MediaTypeNames,Med
VisualStyles,Vis
VisualStyleElement,Vis2
Window,Win2
DB,DB
DBOperation,DBO
partial,par
FormSalesDetail,For2
Form,For3
salesNo,sal
dtTaxRate,dtT
dtColumnItem,dtC
mode,mod
operation,ope
taxRate,tax
ProcessConfirmationFlag,Pro
get,get
set,set
InitializeComponent,Ini
FormSalesDetail_Load,For4
e,e
ControlInitSettings,Con2
GetTaxRate,Get
ProcessForMode,Pro2
ex,ex
MessageBox,Mes
Show,Sho
データベース操作中にエラーが発生しました,データ
Environment,Env
NewLine,New
Message,Mes2
StackTrace,Sta
buttonRowAddition_Click,but
RowAdditionProcess,Row
buttonRowDelete_Click,but2
RowDeletingProcess,Row2
dataGridViewSalesDetail_CurrentCellDirtyStateChanged,dat
dataGridViewSalesDetail,dat2
CommitEdit,Com2
DataGridViewDataErrorContexts,Dat2
dataGridViewSalesDetail_CellValueChanged,dat3
DataGridViewCellEventArgs,Dat3
0,0
ColumnIndex,Col
Item,Ite
Index,Ind
Quantity,Qua
AmountCalculatingWhenSelectItemComboBox,Amo
RowIndex,Row3
AmountCalculatingWhenQuantityInput,Amo2
Status,Sta2
CurrentCell,Cur
STATUS,STA
EXISTING,EXI
EDIT,EDI
buttonRegistration_Click,but3
MODE,MOD
REGISTRATION,REG
BeforeProcessCheck,Bef
登録してもよろしいですか,登録し
はい,はい
いいえ,いいえ
MessageBoxButtons,Mes3
YesNo,Yes
DialogResult,Dia
Yes,Yes2
RegistrationProcess,Reg
更新してもよろしいですか,更新し
EditProcess,Edi
DELETE,DEL
削除してもよろしいですか,削除し
DeleteProcess,Del
buttonReturn_Click,but4
前画面に戻ってもよろしいですか,前画面
No,No
dataGridViewSalesDetail_EditingControlShowing,dat4
DataGridViewEditingControlShowingEventArgs,Dat4
Control,Con3
DataGridViewTextBoxEditingControl,Dat5
tb,tb
KeyPress,Key
KeyPressEventHandler,Key2
dataGridViewTextBox_KeyPress,dat5
KeyPressEventArgs,Key3
KeyChar,Key4
9,9
